geneID	x	y	MIDCount	cell
Nos1ap	28934	18438	1	302575
Nos1ap	25548	25154	1	250090
Nos1ap	28179	15881	1	291644
Nos1ap	28206	13287	1	291998
Gm7694	22282	12874	1	189553
Uhmk1	26112	24226	1	260168
Uap1	28446	16221	1	295506
Uap1	28660	16546	1	298462
Ddr2	24996	12468	1	238901
Ddr2	19224	17683	1	160605
Ddr2	18046	18568	1	149903
Ddr2	18661	13653	1	156429
Ddr2	30075	20599	1	316817
Ddr2	16256	23522	1	122437
Ddr2	26998	20576	2	274516
3110045C21Rik	15039	19435	1	103554
3110045C21Rik	26201	23690	1	261769
Hsd17b7	20254	18233	1	168813
Rgs5	23882	26024	1	218136
Rgs5	30617	16012	1	323000
Rgs5	15926	20066	1	117521
Rgs5	25466	11829	1	248100
Rgs5	20777	10416	1	173751
Rgs5	30462	19064	3	321258
Rgs5	24652	12374	1	232379
Nuf2	28652	22438	1	298377
Nuf2	15348	13746	1	108335
Pbx1	28640	22410	1	298287
Pbx1	15717	17075	1	114399
Pbx1	28348	16316	1	294542
Pbx1	23082	10372	1	203434
Pbx1	24692	9872	1	233016
Pbx1	15892	17335	1	117085
Pbx1	30472	15639	1	321343
Pbx1	22599	25045	1	194895
Pbx1	24861	11943	1	236235
Pbx1	28376	17976	1	294578
Pbx1	14080	20419	1	88373
